1091143286994202625|43|@casabando, @VeronicaLoaizaV, @FAGuayas, @fabrizio_213, @JackyMurilloZ, @jftorres17, @Anticorreista5, @caicedo_leila, @JoseIbanezB, @jorgemuno, @julioalvarez81, @montero_juanita, @LA6MDG, @AndrsJ19, @aldorico88, @G_VerdesotoEC, @ABWELA, @ChungaCabrera, @henrycucalon, @leon_carriel, @Sg3714, @Peinao04, @mi_buseta, @MarcosToroEc, @GonzaloEPereira
1091159080507490304|36|@luis_carriel, @fabrizio_213, @raulalv79802951, @paulponcemanzo3, @jftorres17, @raulauquilla21, @barremez, @lnunez_ec, @montero_juanita, @percypretty, @HctorMosquera6, @msvg1501, @G_VerdesotoEC, @ABWELA, @ChungaCabrera, @RonPeper, @dastor100, @ariellc201, @Sg3714, @38823d3758c7498, @AbelMuo46562937, @JeffersonAnte, @MarcosToroEc, @erickboccanedes, @freddy_giler
1091340335010271235|17|@LA6MDG, @Sg3714, @lore_estupinan, @Sinclair1182, @msvg1501, @jtvprodu, @jahenca, @ChungaCabrera, @RonPeper, @AmandaHidalgoA, @percypretty, @chinojimenezc, @erickboccanedes, @_Azul_forever, @lnunez_ec, @RevistaGuayaca
1091341717175967745|17|@LA6MDG, @fabrizio_213, @Sg3714, @msvg1501, @jtvprodu, @G_VerdesotoEC, @drcirujano1, @ChungaCabrera, @Color261, @erickboccanedes, @chinopepe79, @anpalevar1973, @percypretty, @luzmilanicolald
1091346174668361728|25|@VicenteTaianoEC, @FAGuayas, @cruizalvarez, @Cristhyn3000, @JoseIbanezB, @barremez, @chinopepe79, @lnunez_ec, @percypretty, @LA6MDG, @lore_estupinan, @HctorMosquera6, @msvg1501, @aldorico88, @G_VerdesotoEC, @ABWELA, @ChungaCabrera, @ariellc201, @luiscab2204, @Sg3714, @97f016a1c1bf4e9, @jtvprodu, @jRodriguezECU, @MarcoCastilloEC, @erickboccanedes
1091348765997453312|35|@VicenteTaianoEC, @anitachove, @fabrizio_213, @Oscar14Moreno, @chinojimenezc, @Anticorreista5, @Cristhyn3000, @JoseIbanezB, @larryyumibandam, @LA6MDG, @lore_estupinan, @HctorMosquera6, @aldorico88, @G_VerdesotoEC, @ABWELA, @ChungaCabrera, @Alguacil_67, @Yagomezg, @Sg3714, @JoseCabreraEc, @97f016a1c1bf4e9, @JackyJaimeLara, @ef41b70aa88e4c2, @GonzaloEPereira, @JJOLMEDO_
1091351697342033921|17|@LA6MDG, @fabrizio_213, @arigail, @Sg3714, @JoseCabreraEc, @HctorMosquera6, @tatilluela, @msvg1501, @jtvprodu, @G_VerdesotoEC, @RonPeper, @percypretty, @erickboccanedes, @chinopepe79, @lnunez_ec, @luzmilanicolald, @radioelite9971
1091354749788667909|17|@LA6MDG, @fabrizio_213, @Sg3714, @chinopepe79, @JoseCabreraEc, @msvg1501, @aldorico88, @G_VerdesotoEC, @jtvprodu, @ninagavi, @erickboccanedes, @AltamiranoArcos, @dianamacmor, @ef41b70aa88e4c2, @Libre_Guayaquil, @percypretty
1091355178513641472|19|@jorgsuarez, @anpalevar1973, @luzmilanicolald, @fabrizio_213, @leoct07, @JoseIbanezB, @chinopepe79, @percypretty, @lnunez_ec, @LA6MDG, @lore_estupinan, @msvg1501, @G_VerdesotoEC, @Sg3714, @JoseCabreraEc, @jtvprodu, @JalilJalilja, @erickboccanedes, @ef41b70aa88e4c2
1091356767714459649|13|@LA6MDG, @Sg3714, @digmaryh, @msvg1501, @jtvprodu, @G_VerdesotoEC, @erickboccanedes, @JoseIbanezB, @chinopepe79, @Libre_Guayaquil, @percypretty, @luzmilanicolald
