id_original|user|username|hour|date|text
1132687666728845312|earthquakevt|@earthquakevt|14:33|26 may. 2019|Magnitud e intensidad no es lo mismo, la magnitud es la energía liberada de un sismo, que es una sola, mientras que intensidad es la percepción del sismo, esta si es variable, saludos!.
1132687666728845312|earthquakevt|@alkin7|11:17|26 may. 2019|Muchas gracias, por la información.
1132651175814156290|MadameTempestad|@SandraMoriuchi|8:04|26 may. 2019|Pucha,  Magaly tenía razón
1132651175814156290|MadameTempestad|@jostipi|8:33|26 may. 2019|Así es aunq no seamos fans de Magaly, se las cantó clarito a la malvada y tendenciosa  loka de marras de YeniVil.
1132651175814156290|MadameTempestad|@METALIKO691|8:12|26 may. 2019|"Ya que muchos del inframundo ven a Bartra y a ella como ""presidenciables""...parece que eso lo esta tomando en serio y solapadamente esta haciendo su ""campañita"".  Imagínense lo que seria...."
1132651175814156290|MadameTempestad|@jostipi|8:31|26 may. 2019|Pobrecita! Ni la de payasa acierta!!
1132651175814156290|MadameTempestad|@ogonzalesgarcia|8:59|26 may. 2019|En emergencia esa desinformación intencional de la condoricosas es cuasi una TRAICIÓN A LA PATRIA.
1132651175814156290|MadameTempestad|@cucharonviajero|7:47|26 may. 2019|"Y que ""oye voces""."
1132651175814156290|MadameTempestad|@Matipe16|10:16|26 may. 2019|Y no se le puede denunciar por Difamación!!! Amparada en su inmunidad
1132651175814156290|MadameTempestad|@Franciscopio13|7:22|26 may. 2019|Es más figureti, no sabe como llamar la atención
1132651175814156290|MadameTempestad|@fernandofauche|13:54|26 may. 2019|"Ya te imaginarás la ""credibilidad"" que tenía su fallecido programa de televisión.  Darle un programa de TV a esta señora es darle una metralleta a un mono.  Acusa sin confirmar, sin saber, sin investigar!!!"
1132651175814156290|MadameTempestad|@JessErnestoBen1|6:10|27 may. 2019|En INDECI ibishi !!!
1132651175814156290|MadameTempestad|@EstupinanBetsy|14:54|26 may. 2019|La loca no sabe que hacer, su acan de figuretear le gana
1132651175814156290|MadameTempestad|@jcfudge|12:47|26 may. 2019|Denuncien su cuenta
1132651175814156290|MadameTempestad|@FatimillaFeli|9:37|26 may. 2019|@magalyperu
1132651175814156290|MadameTempestad|@MarysolRcornejo|8:51|26 may. 2019|@magalyperu tía, siempre tuviste la razón!!!
1132650859760766978|PeruanoComunica|@huapaya_flores|9:08|26 may. 2019|Estamos locos lucas....pic.twitter.com/9jF9mWG4rM
1132650859760766978|PeruanoComunica|@JuankrlosGz|7:39|26 may. 2019|Ed una pena que haya enfermas mentales dentro del congreso de la república
1132650859760766978|PeruanoComunica|@VictorV64498152|7:20|26 may. 2019|Esa señora es una de las mejores comediantes que tiene el Peru. Que talento para dar risa y vergüenza a la vez.
1132650859760766978|PeruanoComunica|@angsos71|7:50|26 may. 2019|Que la doctora Gonzales la trate, urgente.
1132650859760766978|PeruanoComunica|@ArkelaMaria|7:46|26 may. 2019|Ella como siempre destilando veneno,  es lo único que sale de su boca. Como decimos en  Venezuela la propia Cuima (culebra).
1132650859760766978|PeruanoComunica|@juanlazomacedo|9:29|26 may. 2019|Esperamos una ejemplar sanción a @YeniVilcatoma2 por desinformar y  no seguir los medios oficiales como todos los peruanos
1132650859760766978|PeruanoComunica|@LilianaRatachi|8:14|26 may. 2019|Qué grave está esa sra. Yeni Vilcatoma.
1132650859760766978|PeruanoComunica|@JZavaletaBPZ|8:02|26 may. 2019|Uno chileno que la examine.
1132650859760766978|PeruanoComunica|@Pusycat2017|9:36|26 may. 2019|#PatinoComoVilcatomapic.twitter.com/lXRgfwORBs
1132650859760766978|PeruanoComunica|@danterodjr|9:46|26 may. 2019|Qué vergüenza!!! Hay que ser bien imbécil para soltar una información falsa en un momento como éste. Definitivamente esta idiota no sabe ni dónde está parada
1132650859760766978|PeruanoComunica|@Gilhermaz|9:16|26 may. 2019|Que bruta @YeniVilcatoma2
1132650859760766978|PeruanoComunica|@vhgz|8:36|26 may. 2019|Reitero. Expórtenlo a Chileeee
1132650859760766978|PeruanoComunica|@peruano_renegon|8:32|26 may. 2019|Yo la lo dije... la señora roza lo enfermizo. Su afán de protagonismo es patético y de vergüenza...
1132650859760766978|PeruanoComunica|@osco_jesus|7:40|27 may. 2019|pic.twitter.com/1KNEsiJ3XL
1132650859760766978|PeruanoComunica|@SamuelSalasPe|16:10|26 may. 2019|¿No será que #LaSexologaArimborgo habló con #yenivilcatoma y de ahí ese mal humor de ella?
1132650859760766978|PeruanoComunica|@rosibusso|14:43|26 may. 2019|Su descontrol es peligroso @YeniVilcatoma2 busque tratamiento
1132647745859268609|ReporteYa|@su28Art|7:56|26 may. 2019|No sabía que firulais tenía celular
1132647745859268609|ReporteYa|@mdolores69|7:15|26 may. 2019|Te aseguro que en esta casa no paso nada,tenían en su pared un cuadro de la divina Misericordia,este hogar quedó totalmente protegido! Promesa de Jesús a Sor María Faustina!
1132647745859268609|ReporteYa|@DyDiaz|9:16|26 may. 2019|Jajajajaja parece perro, puro guao
1132647745859268609|ReporteYa|@feluchorojas|8:23|26 may. 2019|Wow wow wow Guau guau guau
1132647745859268609|ReporteYa|@delphin83|8:12|26 may. 2019|Jajajajaja y yo que en México apenas siento una vibracion y ya estoy en la calle.. Y este wow wow jajajajajaja, creo que no saben medidas de seguridad
1132647745859268609|ReporteYa|@gregorio_veliz1|7:45|26 may. 2019|Este pendejo puro Woooaaa y no hace nada coherente ante esa situacion
1132647745859268609|ReporteYa|@Luccanna|22:08|26 may. 2019|Como tiene tiempo de grabar pero no de resguardar su vida ¡guau!
1132647745859268609|ReporteYa|@GinoMayCry|20:37|26 may. 2019|Gua! Gua! Firulais grabando.
1132647745859268609|ReporteYa|@NutricionTotal|12:03|26 may. 2019|pic.twitter.com/epgNxHneMa
1132647745859268609|ReporteYa|@JULIOVERDE5976|10:17|26 may. 2019|Que cague!!!!
1132647745859268609|ReporteYa|@MarTolos8|9:41|26 may. 2019|estresanteeee
1132647745859268609|ReporteYa|@grirod|9:02|26 may. 2019|Lo cumbre es el tremendo estante en la cabecera de la cama, yo mínimo, después de esto lo mando a quitar
1132647745859268609|ReporteYa|@Djsb822|8:10|26 may. 2019|q magnitud fue el temblo y en q parte fue wae video yo estoy en colombia cartagena y aqui no lo senti pero si me comentaron q en bogota si lo sintieron
1132647745859268609|ReporteYa|@coyllorencore|9:04|26 may. 2019|Fué de 7.5
1132647745859268609|ReporteYa|@YEICKOB|7:33|26 may. 2019|#wao
1132641662193344512|ChileAlertaApp|@Rey6David|6:49|26 may. 2019|Cinturón de fuego activado ?
1132639075066875904|earthquakevt|@Solqf|6:30|26 may. 2019|Bendiciones de Dios para todos los países que nos encontramos en el cinturón de fuego, Padre eterno en Ecuador el movimiento fue intenso y duro minutos hasta ahora se desconoce si hay pérdidas humanas.
1132639075066875904|earthquakevt|@jmoya87|9:31|26 may. 2019|@hcevallos_azul
1132639075066875904|earthquakevt|@Arteagasoniam|8:49|26 may. 2019|En Chiclayo, Lambayeque, Perú se sintió muy muy fuerte....salimos a las calles...pensamos que eramos el epicentro.
1132629419724627968|Chaly2222|@elizabetharaya|6:01|26 may. 2019|Sigan metiéndose con Venezuela
1132629419724627968|Chaly2222|@jorgemo0807|6:30|26 may. 2019|Sra Ud., esta cargada de ignorancia. Como puede poner un twett basado en el dolor de lo q significa un terremoto en cualquier país del mundo donde la gente sufre la perdida de vidas, familiares, d sus casas? Eso es una aberración hablar d politiquería frente al dolor. IGNORANCIA
1132629419724627968|Chaly2222|@caracola_14|6:14|26 may. 2019|ASÍ ES..
1132628679312326659|MadameTempestad|@HombreSolveinte|6:33|26 may. 2019|"Ya le respondieron que se equivocó de oficina. ¡Que ""talento"" para hacer papelones tiene esta mujer!pic.twitter.com/a1F2x40stP"
1132628679312326659|MadameTempestad|@Pusycat2017|7:57|26 may. 2019|Es enferma esta hdp ,no cabe duda de que le falta un tornillo a esta fulana. Jode a propios y extraños sin el menor reparo. Que daño .
1132628679312326659|MadameTempestad|@19Enzord|6:46|26 may. 2019|La pregunta del millón es, que chuch...hace ahí???
1132628679312326659|MadameTempestad|@Pusycat2017|8:02|26 may. 2019|Jodiendo la hdp ¿ Qué más ?
1132628679312326659|MadameTempestad|@shagui_soft|7:51|26 may. 2019|Dios esta mujer no duerme...
1132598165411000320|QuakeAlarmMex|@HugoCabret888|3:45|26 may. 2019|Yo ahorita.pic.twitter.com/ZqPvc1Ll7j
1132598165411000320|QuakeAlarmMex|@MrJmpl3|3:44|26 may. 2019|Denuevo?
1132598165411000320|QuakeAlarmMex|@jaarteag|4:41|26 may. 2019|Tres minutos?!!!
1132595422440988673|PeruanoComunica|@pensacola1998|4:39|27 may. 2019|IGNORANTE
1132595422440988673|PeruanoComunica|@PYunganina|11:37|26 may. 2019|pic.twitter.com/2dhBQWJJZL
1132580292601044993|Nestor_Aguilera|@Ivank_Oficial|2:40|26 may. 2019|Primero HUMANO que otra cosa muy bien
